,Virus,ScientificName,accession,most_specific_diagnostic_Test,Order,Family,Genus,Species,common_names,viral_family
329,Rabies lyssavirus,Myotis evotis,3,PCR,CHIROPTERA,VESPERTILIONIDAE,Myotis,evotis,Long-eared Myotis,Rhabdoviridae
330,Rabies lyssavirus,Myotis lucifugus,2,PCR,CHIROPTERA,VESPERTILIONIDAE,Myotis,lucifugus,"Little Brown Bat, Little Brown Myotis",Rhabdoviridae
331,Rabies lyssavirus,Myotis nigricans,24,PCR,CHIROPTERA,VESPERTILIONIDAE,Myotis,nigricans,Black Myotis,Rhabdoviridae
332,Rabies lyssavirus,Myotis riparius,1,PCR,CHIROPTERA,VESPERTILIONIDAE,Myotis,riparius,Riparian Myotis,Rhabdoviridae
333,Rabies lyssavirus,Myotis thysanodes,1,PCR,CHIROPTERA,VESPERTILIONIDAE,Myotis,thysanodes,Fringed Myotis,Rhabdoviridae
334,Rabies lyssavirus,Myotis velifer,5,PCR,CHIROPTERA,VESPERTILIONIDAE,Myotis,velifer,Cave Myotis,Rhabdoviridae
335,Rabies lyssavirus,Myotis yumanensis,8,PCR,CHIROPTERA,VESPERTILIONIDAE,Myotis,yumanensis,Yuma Myotis,Rhabdoviridae
336,Rabies lyssavirus,Nyctereutes procyonoides,25,PCR,CARNIVORA,CANIDAE,Nyctereutes,procyonoides,Raccoon Dog,Rhabdoviridae
337,Rabies lyssavirus,Nycticeius humeralis,3,PCR,CHIROPTERA,VESPERTILIONIDAE,Nycticeius,humeralis,Evening Bat,Rhabdoviridae
338,Rabies lyssavirus,Nyctinomops laticaudatus,22,PCR,CHIROPTERA,MOLOSSIDAE,Nyctinomops,laticaudatus,"Broad-eared Bat, Broad-eared Free-tailed Bat",Rhabdoviridae
339,Rabies lyssavirus,Nyctinomops macrotis,2,PCR,CHIROPTERA,MOLOSSIDAE,Nyctinomops,macrotis,Big Free-tailed Bat,Rhabdoviridae
340,Rabies lyssavirus,Otocyon megalotis,121,PCR,CARNIVORA,CANIDAE,Otocyon,megalotis,Bat-eared Fox,Rhabdoviridae
341,Rabies lyssavirus,Ovis aries,26,PCR,CETARTIODACTYLA,BOVIDAE,Ovis,aries,,Rhabdoviridae
342,Rabies lyssavirus,Panthera pardus,1,PCR,CARNIVORA,FELIDAE,Panthera,pardus,Leopard,Rhabdoviridae
343,Rabies lyssavirus,Pipistrellus hesperus,23,PCR,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,hesperus,Western Pipistrelle,Rhabdoviridae
344,Rabies lyssavirus,Pipistrellus subflavus,21,PCR,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,subflavus,Eastern Pipistrelle,Rhabdoviridae
345,Rabies lyssavirus,Procyon cancrivorus,1,PCR,CARNIVORA,PROCYONIDAE,Procyon,cancrivorus,Crab-eating Raccoon,Rhabdoviridae
