,Virus,ScientificName,accession,most_specific_diagnostic_Test,Order,Family,Genus,Species,common_names,viral_family
84,El Moro Canyon orthohantavirus,Neotoma mexicana,1,PCR,RODENTIA,CRICETIDAE,Neotoma,mexicana,Mexican Woodrat,Hantaviridae
85,El Moro Canyon orthohantavirus,Peromyscus maniculatus,2,PCR,RODENTIA,CRICETIDAE,Peromyscus,maniculatus,"North American Deermouse, Deer Mouse",Hantaviridae
86,El Moro Canyon orthohantavirus,Peromyscus melanotis,1,PCR,RODENTIA,CRICETIDAE,Peromyscus,melanotis,Black-eared Mouse,Hantaviridae
87,El Moro Canyon orthohantavirus,Reithrodontomys megalotis,25,PCR,RODENTIA,CRICETIDAE,Reithrodontomys,megalotis,"Southern Marsh Harvest Mouse, Western Harvest Mouse",Hantaviridae
88,Encephalomyocarditis virus,Bos taurus,1,PCR,CETARTIODACTYLA,BOVIDAE,Bos,taurus,,Picornaviridae
89,Encephalomyocarditis virus,Glis glis,1,PCR,RODENTIA,GLIRIDAE,Glis,glis,"Edible Dormouse, Fat Dormouse",Picornaviridae
90,Encephalomyocarditis virus,Glis glis,1,PCR,RODENTIA,GLIRIDAE,Glis,glis,,Picornaviridae
91,Encephalomyocarditis virus,Homo sapiens,6,PCR,PRIMATES,HOMINIDAE,Homo,sapiens,Human,Picornaviridae
92,Encephalomyocarditis virus,Loxodonta africana,4,PCR,PROBOSCIDEA,ELEPHANTIDAE,Loxodonta,africana,African Elephant,Picornaviridae
93,Encephalomyocarditis virus,Mus musculus,1,PCR,RODENTIA,MURIDAE,Mus,musculus,House Mouse,Picornaviridae
94,Encephalomyocarditis virus,Pan paniscus,1,PCR,PRIMATES,HOMINIDAE,Pan,paniscus,"Bonobo, Pygmy Chimpanzee, Gracile Chimpanzee, Dwarf Chimpazee",Picornaviridae
95,Encephalomyocarditis virus,Pan troglodytes,4,PCR,PRIMATES,HOMINIDAE,Pan,troglodytes,"Chimpanzee, Robust Chimpanzee, Common Chimpanzee",Picornaviridae
96,Encephalomyocarditis virus,Panthera tigris,1,PCR,CARNIVORA,FELIDAE,Panthera,tigris,Tiger,Picornaviridae
97,Encephalomyocarditis virus,Rattus norvegicus,2,PCR,RODENTIA,MURIDAE,Rattus,norvegicus,Brown Rat,Picornaviridae
98,Encephalomyocarditis virus,Sus scrofa,1,PCR,CETARTIODACTYLA,SUIDAE,Sus,scrofa,"Wild Boar, Eurasian Wild Pig, Ryukyu Islands Wild Pig",Picornaviridae
99,Encephalomyocarditis virus,Sus scrofa domesticus,50,PCR,CETARTIODACTYLA,SUIDAE,Sus,scrofa domesticus,,Picornaviridae
100,Encephalomyocarditis virus,Tamiasciurus hudsonicus,1,PCR,RODENTIA,SCIURIDAE,Tamiasciurus,hudsonicus,"Red Squirrel, Mount Graham Red Squirrel, Mountain Weasel",Picornaviridae
101,Enterovirus A,Gorilla gorilla,1,PCR,PRIMATES,HOMINIDAE,Gorilla,gorilla,"Western Gorilla, Lowland Gorilla",Picornaviridae
102,Enterovirus A,Homo sapiens,388,PCR,PRIMATES,HOMINIDAE,Homo,sapiens,Human,Picornaviridae
103,Enterovirus A,Mandrillus sphinx,22,PCR,PRIMATES,CERCOPITHECIDAE,Mandrillus,sphinx,Mandrill,Picornaviridae
104,Enterovirus A,Pan troglodytes,1,PCR,PRIMATES,HOMINIDAE,Pan,troglodytes,"Chimpanzee, Robust Chimpanzee, Common Chimpanzee",Picornaviridae
105,European bat lyssavirus,Eptesicus serotinus,1,PCR,CHIROPTERA,VESPERTILIONIDAE,Eptesicus,serotinus,Serotine,Rhabdoviridae
106,Getah virus,Equus caballus,8,PCR,PERISSODACTYLA,EQUIDAE,Equus,caballus,,Togaviridae
107,Getah virus,Sus scrofa domesticus,4,PCR,CETARTIODACTYLA,SUIDAE,Sus,scrofa domesticus,,Togaviridae
108,Guama virus,Cebus apella,3,PCR,PRIMATES,CEBIDAE,Cebus,apella,,Peribunyaviridae
109,Guanarito mammarenavirus,Homo sapiens,33,PCR,PRIMATES,HOMINIDAE,Homo,sapiens,Human,Arenaviridae
110,Guanarito mammarenavirus,Sigmodon alstoni,1,PCR,RODENTIA,CRICETIDAE,Sigmodon,alstoni,Alston's Cotton Rat,Arenaviridae
111,Guanarito mammarenavirus,Zygodontomys brevicauda,29,PCR,RODENTIA,CRICETIDAE,Zygodontomys,brevicauda,Short-tailed Cane Mouse,Arenaviridae
112,Guaroa virus,Homo sapiens,74,PCR,PRIMATES,HOMINIDAE,Homo,sapiens,Human,Peribunyaviridae
113,Hantaan orthohantavirus,Apodemus agrarius,349,PCR,RODENTIA,MURIDAE,Apodemus,agrarius,Striped Field Mouse,Hantaviridae
114,Hantaan orthohantavirus,Apodemus peninsulae,8,PCR,RODENTIA,MURIDAE,Apodemus,peninsulae,Korean Field Mouse,Hantaviridae
115,Hantaan orthohantavirus,Homo sapiens,99,PCR,PRIMATES,HOMINIDAE,Homo,sapiens,Human,Hantaviridae
116,Hantaan orthohantavirus,Microtus fortis,27,PCR,RODENTIA,CRICETIDAE,Microtus,fortis,Reed Vole,Hantaviridae
117,Hantaan orthohantavirus,Mus musculus,2,PCR,RODENTIA,MURIDAE,Mus,musculus,House Mouse,Hantaviridae
118,Hantaan orthohantavirus,Myodes rutilus,4,PCR,RODENTIA,CRICETIDAE,Myodes,rutilus,"Northern Red-backed Vole, Red Vole, RED VOLE",Hantaviridae
119,Hantaan orthohantavirus,Niviventer confucianus,4,PCR,RODENTIA,MURIDAE,Niviventer,confucianus,"Confucian Niviventer, Chinese White-bellied Rat",Hantaviridae
120,Hantaan orthohantavirus,Rattus norvegicus,8,PCR,RODENTIA,MURIDAE,Rattus,norvegicus,Brown Rat,Hantaviridae
121,Hantaan orthohantavirus,Tscherskia triton,1,PCR,RODENTIA,CRICETIDAE,Tscherskia,triton,Greater Long-tailed Hamster,Hantaviridae
122,Hendra henipavirus,Equus caballus,23,PCR,PERISSODACTYLA,EQUIDAE,Equus,caballus,,Paramyxoviridae
123,Hendra henipavirus,Homo sapiens,3,PCR,PRIMATES,HOMINIDAE,Homo,sapiens,Human,Paramyxoviridae
124,Ilheus virus,Homo sapiens,1,PCR,PRIMATES,HOMINIDAE,Homo,sapiens,Human,Flaviviridae
125,Influenza B virus,Homo sapiens,1,PCR,PRIMATES,HOMINIDAE,Homo,sapiens,Human,Orthomyxoviridae
126,Irkut lyssavirus,Murina leucogaster,2,PCR,CHIROPTERA,VESPERTILIONIDAE,Murina,leucogaster,"Rufous Tube-nosed Bat, Greater Tube-nosed Bat",Rhabdoviridae
127,Isla Vista hantavirus,Microtus californicus,7,PCR,RODENTIA,CRICETIDAE,Microtus,californicus,"Amargosa Vole, California Vole",Hantaviridae
128,Isla Vista hantavirus,Peromyscus californicus,3,PCR,RODENTIA,CRICETIDAE,Peromyscus,californicus,California Mouse,Hantaviridae
129,Issyk-Kul virus,Nyctalus noctula,4,PCR,CHIROPTERA,VESPERTILIONIDAE,Nyctalus,noctula,Noctule,Nairoviridae
130,Japanese encephalitis virus,Bos taurus,7,PCR,CETARTIODACTYLA,BOVIDAE,Bos,taurus,,Flaviviridae
131,Japanese encephalitis virus,Columba livia,1,PCR,COLUMBIFORMES,COLUMBIDAE,Columba,livia,"Rock Dove, Common Pigeon, Rock Dove, Rock DoveI",Flaviviridae
132,Japanese encephalitis virus,Equus caballus,7,PCR,PERISSODACTYLA,EQUIDAE,Equus,caballus,,Flaviviridae
133,Japanese encephalitis virus,Homo sapiens,296,PCR,PRIMATES,HOMINIDAE,Homo,sapiens,Human,Flaviviridae
134,Japanese encephalitis virus,Miniopterus schreibersii,1,PCR,CHIROPTERA,MINIOPTERIDAE,Miniopterus,schreibersii,"Schreiber's Bent-winged Bat, Schreiber's Long-fingered Bat, Common Bentwing Bat",Flaviviridae
135,Japanese encephalitis virus,Murina aurata,1,PCR,CHIROPTERA,VESPERTILIONIDAE,Murina,aurata,"Little Tube-nosed Bat, Tibetan Tube-nosed Bat",Flaviviridae
136,Japanese encephalitis virus,Murina aurata,1,PCR,CHIROPTERA,VESPERTILIONIDAE,Murina,aurata,,Flaviviridae
137,Japanese encephalitis virus,Myotis pilosus,1,PCR,CHIROPTERA,VESPERTILIONIDAE,Myotis,pilosus,"Rickett's Big-footed Myotis, Rickett's Big-footed Bat",Flaviviridae
138,Japanese encephalitis virus,Ovis aries,1,PCR,CETARTIODACTYLA,BOVIDAE,Ovis,aries,,Flaviviridae
139,Japanese encephalitis virus,Rhinolophus affinis,1,PCR,CHIROPTERA,RHINOLOPHIDAE,Rhinolophus,affinis,Intermediate Horseshoe Bat,Flaviviridae
140,Japanese encephalitis virus,Rousettus leschenaultii,3,PCR,CHIROPTERA,PTEROPODIDAE,Rousettus,leschenaultii,"Leschenault's Rousette, Leschenault's Rousette, Shortridge's Rousette",Flaviviridae
141,Japanese encephalitis virus,Scotophilus kuhlii,1,PCR,CHIROPTERA,VESPERTILIONIDAE,Scotophilus,kuhlii,"Lesser Asiatic Yellow House Bat, Lesser Asiatic Yellow Bat, Lesser Asian House Bat, Asiatic Lesser Yellow House Bat",Flaviviridae
142,Japanese encephalitis virus,Sturnus vulgaris,1,PCR,PASSERIFORMES,STURNIDAE,Sturnus,vulgaris,"Common Starling, Starling, European Starling",Flaviviridae
143,Japanese encephalitis virus,Sus scrofa domesticus,176,PCR,CETARTIODACTYLA,SUIDAE,Sus,scrofa domesticus,,Flaviviridae
144,Japanese encephalitis virus,Turdus merula,1,PCR,PASSERIFORMES,TURDIDAE,Turdus,merula,"Eurasian Blackbird, Common Blackbird, Blackbird",Flaviviridae
145,Japanese encephalitis virus,Turdus musicus,1,PCR,PASSERIFORMES,TURDIDAE,Turdus,musicus,,Flaviviridae
146,Japanese encephalitis virus,Turdus philomelos,1,PCR,PASSERIFORMES,TURDIDAE,Turdus,philomelos,Song Thrush,Flaviviridae
147,Junin mammarenavirus,Calomys laucha,2,PCR,RODENTIA,CRICETIDAE,Calomys,laucha,"Small Vesper Mouse, Little Laucha",Arenaviridae
148,Junin mammarenavirus,Calomys musculinus,6,PCR,RODENTIA,CRICETIDAE,Calomys,musculinus,"Drylands Vesper Mouse, Drylands Laucha",Arenaviridae
149,Junin mammarenavirus,Homo sapiens,46,PCR,PRIMATES,HOMINIDAE,Homo,sapiens,Human,Arenaviridae
150,Junin mammarenavirus,Oligoryzomys flavescens,6,PCR,RODENTIA,CRICETIDAE,Oligoryzomys,flavescens,Yellow Pygmy Rice Rat,Arenaviridae
151,Kunjin virus,Equus caballus,3,PCR,PERISSODACTYLA,EQUIDAE,Equus,caballus,,Flaviviridae
152,Kunjin virus,Homo sapiens,1,PCR,PRIMATES,HOMINIDAE,Homo,sapiens,Human,Flaviviridae
153,La Crosse virus,Homo sapiens,12,PCR,PRIMATES,HOMINIDAE,Homo,sapiens,Human,Peribunyaviridae
154,Lagos bat lyssavirus,Atilax paludinosus,1,PCR,CARNIVORA,HERPESTIDAE,Atilax,paludinosus,"Marsh Mongoose, Water Mongoose",Rhabdoviridae
155,Lagos bat lyssavirus,Canis lupus familiaris,1,PCR,CARNIVORA,CANIDAE,Canis,lupus familiaris,,Rhabdoviridae
156,Lagos bat lyssavirus,Eidolon helvum,7,PCR,CHIROPTERA,PTEROPODIDAE,Eidolon,helvum,"African Straw-coloured Fruit-bat, Staw-coloured Flying Fox, Pale Xantharpy, Straw-coloured Fruit Bat",Rhabdoviridae
157,Lagos bat lyssavirus,Epomophorus wahlbergi,13,PCR,CHIROPTERA,PTEROPODIDAE,Epomophorus,wahlbergi,Wahlberg's Epauletted Fruit Bat,Rhabdoviridae
158,Lagos bat lyssavirus,Felis catus,1,PCR,CARNIVORA,FELIDAE,Felis,catus,,Rhabdoviridae
159,Lagos bat lyssavirus,Rousettus aegyptiacus,2,PCR,CHIROPTERA,PTEROPODIDAE,Rousettus,aegyptiacus,"Egyptian Fruit Bat, Egyptian Rousette",Rhabdoviridae
160,Laguna Negra orthohantavirus,Akodon simulator,1,PCR,RODENTIA,CRICETIDAE,Akodon,simulator,"Gray-bellied Grass Mouse, White-throated Akodont",Hantaviridae
161,Laguna Negra orthohantavirus,Calomys callidus,4,PCR,RODENTIA,CRICETIDAE,Calomys,callidus,"Crafty Vesper Mouse, Reclusive Laucha",Hantaviridae
162,Laguna Negra orthohantavirus,Calomys fecundus,4,PCR,RODENTIA,CRICETIDAE,Calomys,fecundus,,Hantaviridae
163,Laguna Negra orthohantavirus,Calomys laucha,3,PCR,RODENTIA,CRICETIDAE,Calomys,laucha,"Small Vesper Mouse, Little Laucha",Hantaviridae
164,Laguna Negra orthohantavirus,Homo sapiens,21,PCR,PRIMATES,HOMINIDAE,Homo,sapiens,Human,Hantaviridae
165,Lassa mammarenavirus,Homo sapiens,463,PCR,PRIMATES,HOMINIDAE,Homo,sapiens,Human,Arenaviridae
166,Lassa mammarenavirus,Homo sapiens,463,PCR,PRIMATES,HOMINIDAE,Homo,sapiens,Human,Arenaviridae
167,Lassa mammarenavirus,Hylomyscus pamfi,10,PCR,RODENTIA,MURIDAE,Hylomyscus,pamfi,,Arenaviridae
168,Lassa mammarenavirus,Hylomyscus pamfi,10,PCR,RODENTIA,MURIDAE,Hylomyscus,pamfi,,Arenaviridae
169,Lassa mammarenavirus,Mastomys erythroleucus,18,PCR,RODENTIA,MURIDAE,Mastomys,erythroleucus,"Guinea Multimammate Mouse, Reddish-white Mastomys",Arenaviridae
170,Lassa mammarenavirus,Mastomys erythroleucus,18,PCR,RODENTIA,MURIDAE,Mastomys,erythroleucus,"Guinea Multimammate Mouse, Reddish-white Mastomys",Arenaviridae
171,Lassa mammarenavirus,Mastomys natalensis,322,PCR,RODENTIA,MURIDAE,Mastomys,natalensis,"Natal Mastomys, Natal Multimammate Mouse",Arenaviridae
172,Lassa mammarenavirus,Mastomys natalensis,322,PCR,RODENTIA,MURIDAE,Mastomys,natalensis,"Natal Mastomys, Natal Multimammate Mouse",Arenaviridae
173,Lassa mammarenavirus,Mus baoulei,3,PCR,RODENTIA,MURIDAE,Mus,baoulei,Baoule's Mouse,Arenaviridae
174,Lassa mammarenavirus,Mus baoulei,3,PCR,RODENTIA,MURIDAE,Mus,baoulei,Baoule's Mouse,Arenaviridae
175,Ljungan virus,Myodes glareolus,3,PCR,RODENTIA,CRICETIDAE,Myodes,glareolus,Bank Vole,Picornaviridae
176,Ljungan virus,Rattus norvegicus,2,PCR,RODENTIA,MURIDAE,Rattus,norvegicus,Brown Rat,Picornaviridae
177,Louping ill virus,Capra hircus,2,PCR,CETARTIODACTYLA,BOVIDAE,Capra,hircus,,Flaviviridae
178,Louping ill virus,Capra hircus,2,PCR,CETARTIODACTYLA,BOVIDAE,Capra,hircus,,Flaviviridae
179,Louping ill virus,Homo sapiens,1,PCR,PRIMATES,HOMINIDAE,Homo,sapiens,Human,Flaviviridae
180,Louping ill virus,Homo sapiens,1,PCR,PRIMATES,HOMINIDAE,Homo,sapiens,Human,Flaviviridae
181,Louping ill virus,Ovis aries,2,PCR,CETARTIODACTYLA,BOVIDAE,Ovis,aries,,Flaviviridae
182,Louping ill virus,Ovis aries,2,PCR,CETARTIODACTYLA,BOVIDAE,Ovis,aries,,Flaviviridae
183,Lujo mammarenavirus,Homo sapiens,4,PCR,PRIMATES,HOMINIDAE,Homo,sapiens,Human,Arenaviridae
184,Lymphocytic choriomeningitis mammarenavirus,Apodemus sylvaticus,4,PCR,RODENTIA,MURIDAE,Apodemus,sylvaticus,"Long-tailed Field Mouse, Wood Mouse, Small Wood Mouse",Arenaviridae
185,Lymphocytic choriomeningitis mammarenavirus,Callimico goeldii,1,PCR,PRIMATES,CALLITRICHIDAE,Callimico,goeldii,"Goeldi's Monkey, Callimico, Goeldi's Tamarin, Goeldi's Marmoset",Arenaviridae
186,Lymphocytic choriomeningitis mammarenavirus,Cavia porcellus,1,PCR,RODENTIA,CAVIIDAE,Cavia,porcellus,,Arenaviridae
187,Lymphocytic choriomeningitis mammarenavirus,Cebuella pygmaea,1,PCR,PRIMATES,CALLITRICHIDAE,Cebuella,pygmaea,Pygmy Marmoset,Arenaviridae
188,Lymphocytic choriomeningitis mammarenavirus,Homo sapiens,23,PCR,PRIMATES,HOMINIDAE,Homo,sapiens,Human,Arenaviridae
189,Lymphocytic choriomeningitis mammarenavirus,Mus musculus,151,PCR,RODENTIA,MURIDAE,Mus,musculus,House Mouse,Arenaviridae
190,Machupo mammarenavirus,Apodemus agrarius,1,PCR,RODENTIA,MURIDAE,Apodemus,agrarius,Striped Field Mouse,Arenaviridae
191,Machupo mammarenavirus,Calomys callosus,9,PCR,RODENTIA,CRICETIDAE,Calomys,callosus,"Large Vesper Mouse, Big Laucha",Arenaviridae
192,Machupo mammarenavirus,Homo sapiens,67,PCR,PRIMATES,HOMINIDAE,Homo,sapiens,Human,Arenaviridae
193,Mayaro virus,Homo sapiens,27,PCR,PRIMATES,HOMINIDAE,Homo,sapiens,Human,Togaviridae
194,Middle East respiratory syndrome-related coronavirus,Camelus dromedarius,141,PCR,CETARTIODACTYLA,CAMELIDAE,Camelus,dromedarius,,Coronaviridae
195,Middle East respiratory syndrome-related coronavirus,Homo sapiens,496,PCR,PRIMATES,HOMINIDAE,Homo,sapiens,Human,Coronaviridae
196,Mobala mammarenavirus,Mastomys awashensis,2,PCR,RODENTIA,MURIDAE,Mastomys,awashensis,"Awash Mastomys, Awash Multimammate Mouse",Arenaviridae
197,Mobala mammarenavirus,Mastomys natalensis,2,PCR,RODENTIA,MURIDAE,Mastomys,natalensis,"Natal Mastomys, Natal Multimammate Mouse",Arenaviridae
198,Mobala mammarenavirus,Stenocephalemys albipes,1,PCR,RODENTIA,MURIDAE,Stenocephalemys,albipes,"Ethiopian White-footed Mouse, White-footed Stenocephalemys",Arenaviridae
199,Mokola lyssavirus,Canis lupus familiaris,1,PCR,CARNIVORA,CANIDAE,Canis,lupus familiaris,,Rhabdoviridae
200,Mokola lyssavirus,Felis catus,16,PCR,CARNIVORA,FELIDAE,Felis,catus,,Rhabdoviridae
201,Monkeypox virus,Homo sapiens,111,PCR,PRIMATES,HOMINIDAE,Homo,sapiens,Human,Poxviridae
202,Monkeypox virus,Pan troglodytes,1,PCR,PRIMATES,HOMINIDAE,Pan,troglodytes,"Chimpanzee, Robust Chimpanzee, Common Chimpanzee",Poxviridae
203,Mopeia mammarenavirus,Mastomys natalensis,17,PCR,RODENTIA,MURIDAE,Mastomys,natalensis,"Natal Mastomys, Natal Multimammate Mouse",Arenaviridae
204,Morogoro mammarenavirus,Mastomys natalensis,20,PCR,RODENTIA,MURIDAE,Mastomys,natalensis,"Natal Mastomys, Natal Multimammate Mouse",Arenaviridae
205,Muju virus,Myodes regulus,18,PCR,RODENTIA,CRICETIDAE,Myodes,regulus,"Southern Red-backed Vole, Royal Vole, Korean Red-backed Vole",Hantaviridae
206,Murray Valley encephalitis virus,Equus caballus,3,PCR,PERISSODACTYLA,EQUIDAE,Equus,caballus,,Flaviviridae
207,Murray Valley encephalitis virus,Homo sapiens,8,PCR,PRIMATES,HOMINIDAE,Homo,sapiens,Human,Flaviviridae
208,Naples virus,Homo sapiens,3,PCR,PRIMATES,HOMINIDAE,Homo,sapiens,Human,Phenuiviridae
209,New York hantavirus,Homo sapiens,2,PCR,PRIMATES,HOMINIDAE,Homo,sapiens,Human,Hantaviridae
210,New York hantavirus,Peromyscus leucopus,2,PCR,RODENTIA,CRICETIDAE,Peromyscus,leucopus,White-footed Mouse,Hantaviridae
211,Ngari virus,Homo sapiens,12,PCR,PRIMATES,HOMINIDAE,Homo,sapiens,Human,Peribunyaviridae
212,Nipah henipavirus,Homo sapiens,13,PCR,PRIMATES,HOMINIDAE,Homo,sapiens,Human,Paramyxoviridae
213,Nipah henipavirus,Pteropus giganteus,4,PCR,CHIROPTERA,PTEROPODIDAE,Pteropus,giganteus,"Indian Flying Fox, Indian Flying-fox",Paramyxoviridae
214,Nipah henipavirus,Pteropus hypomelanus,5,PCR,CHIROPTERA,PTEROPODIDAE,Pteropus,hypomelanus,"Island Flying Fox, Variable Flying-fox, Small Flying-fox, Variable Flying Fox",Paramyxoviridae
215,Nipah henipavirus,Pteropus lylei,66,PCR,CHIROPTERA,PTEROPODIDAE,Pteropus,lylei,Lyle's Flying Fox,Paramyxoviridae
216,Nipah henipavirus,Pteropus vampyrus,8,PCR,CHIROPTERA,PTEROPODIDAE,Pteropus,vampyrus,"Large Flying-fox, Large Flying Fox",Paramyxoviridae
217,Oliveros mammarenavirus,Necromys lasiurus,3,PCR,RODENTIA,CRICETIDAE,Necromys,lasiurus,Hairy-tailed Bolo Mouse,Arenaviridae
218,Omsk hemorrhagic fever virus,Homo sapiens,4,PCR,PRIMATES,HOMINIDAE,Homo,sapiens,Human,Flaviviridae
219,Omsk hemorrhagic fever virus,Ondatra zibethicus,18,PCR,RODENTIA,CRICETIDAE,Ondatra,zibethicus,Muskrat,Flaviviridae
220,Oran virus,Homo sapiens,7,PCR,PRIMATES,HOMINIDAE,Homo,sapiens,Human,Hantaviridae
221,Oran virus,Oligoryzomys longicaudatus,3,PCR,RODENTIA,CRICETIDAE,Oligoryzomys,longicaudatus,Long-tailed Pygmy Rice Rat,Hantaviridae
222,Orf virus,Antilope cervicapra,1,PCR,CETARTIODACTYLA,BOVIDAE,Antilope,cervicapra,Blackbuck,Poxviridae
223,Orf virus,Bos taurus,2,PCR,CETARTIODACTYLA,BOVIDAE,Bos,taurus,,Poxviridae
224,Orf virus,Budorcas taxicolor,2,PCR,CETARTIODACTYLA,BOVIDAE,Budorcas,taxicolor,Takin,Poxviridae
225,Orf virus,Camelus dromedarius,5,PCR,CETARTIODACTYLA,CAMELIDAE,Camelus,dromedarius,,Poxviridae
226,Orf virus,Capra hircus,326,PCR,CETARTIODACTYLA,BOVIDAE,Capra,hircus,,Poxviridae
227,Orf virus,Capra ibex,1,PCR,CETARTIODACTYLA,BOVIDAE,Capra,ibex,"Alpine Ibex, Ibex",Poxviridae
228,Orf virus,Capricornis crispus,6,PCR,CETARTIODACTYLA,BOVIDAE,Capricornis,crispus,Japanese Serow,Poxviridae
229,Orf virus,Homo sapiens,12,PCR,PRIMATES,HOMINIDAE,Homo,sapiens,Human,Poxviridae
230,Orf virus,Odocoileus hemionus,2,PCR,CETARTIODACTYLA,CERVIDAE,Odocoileus,hemionus,"Mule Deer, Black-tailed Deer, Cedros Island Mule Deer, Cedros Island Black-tailed Deer",Poxviridae
231,Orf virus,Oreamnos americanus,16,PCR,CETARTIODACTYLA,BOVIDAE,Oreamnos,americanus,"Mountain Goat, Rocky Mountain Goat",Poxviridae
232,Orf virus,Ovibos moschatus,12,PCR,CETARTIODACTYLA,BOVIDAE,Ovibos,moschatus,"Muskox, Musk Ox",Poxviridae
233,Orf virus,Ovis aries,240,PCR,CETARTIODACTYLA,BOVIDAE,Ovis,aries,,Poxviridae
234,Orf virus,Ovis dalli,6,PCR,CETARTIODACTYLA,BOVIDAE,Ovis,dalli,"Thinhorn Sheep, Dall's Sheep",Poxviridae
235,Orf virus,Rangifer tarandus,32,PCR,CETARTIODACTYLA,CERVIDAE,Rangifer,tarandus,"Reindeer, Caribou, Peary Caribou",Poxviridae
236,Orf virus,Rupicapra rupicapra,5,PCR,CETARTIODACTYLA,BOVIDAE,Rupicapra,rupicapra,"Northern Chamois, Alpine Chamois, Chamois, Balkan Chamois",Poxviridae
237,Oropouche virus,Bradypus tridactylus,11,PCR,PILOSA,BRADYPODIDAE,Bradypus,tridactylus,"Pale-throated Three-toed Sloth, Pale-throated Sloth",Peribunyaviridae
238,Oropouche virus,Homo sapiens,188,PCR,PRIMATES,HOMINIDAE,Homo,sapiens,Human,Peribunyaviridae
239,Pinhal virus,Calomys tener,5,PCR,RODENTIA,CRICETIDAE,Calomys,tener,"Delicate Vesper Mouse, Delicate Laucha",Arenaviridae
240,Pirital mammarenavirus,Sigmodon alstoni,29,PCR,RODENTIA,CRICETIDAE,Sigmodon,alstoni,Alston's Cotton Rat,Arenaviridae
241,Pirital mammarenavirus,Zygodontomys brevicauda,1,PCR,RODENTIA,CRICETIDAE,Zygodontomys,brevicauda,Short-tailed Cane Mouse,Arenaviridae
242,Powassan virus,Homo sapiens,6,PCR,PRIMATES,HOMINIDAE,Homo,sapiens,Human,Flaviviridae
243,Prospect Hill orthohantavirus,Microtus pennsylvanicus,1,PCR,RODENTIA,CRICETIDAE,Microtus,pennsylvanicus,"Chihuahua Vole, Meadow Vole",Hantaviridae
244,Pseudocowpox virus,Bos taurus,46,PCR,CETARTIODACTYLA,BOVIDAE,Bos,taurus,,Poxviridae
245,Pseudocowpox virus,Camelus dromedarius,8,PCR,CETARTIODACTYLA,CAMELIDAE,Camelus,dromedarius,,Poxviridae
246,Pseudocowpox virus,Homo sapiens,9,PCR,PRIMATES,HOMINIDAE,Homo,sapiens,Human,Poxviridae
247,Pseudocowpox virus,Rangifer tarandus,6,PCR,CETARTIODACTYLA,CERVIDAE,Rangifer,tarandus,"Reindeer, Caribou, Peary Caribou",Poxviridae
248,Punta Toro virus,Homo sapiens,33,PCR,PRIMATES,HOMINIDAE,Homo,sapiens,Human,Phenuiviridae
249,Puumala orthohantavirus,Homo sapiens,248,PCR,PRIMATES,HOMINIDAE,Homo,sapiens,Human,Hantaviridae
250,Puumala orthohantavirus,Homo sapiens,248,PCR,PRIMATES,HOMINIDAE,Homo,sapiens,Human,Hantaviridae
251,Puumala orthohantavirus,Meriones tamariscinus,1,PCR,RODENTIA,MURIDAE,Meriones,tamariscinus,"Tamarisk Gerbil, Tamarisk Jird, TAMARISK JIRD",Hantaviridae
252,Puumala orthohantavirus,Meriones tamariscinus,1,PCR,RODENTIA,MURIDAE,Meriones,tamariscinus,"Tamarisk Gerbil, Tamarisk Jird, TAMARISK JIRD",Hantaviridae
253,Puumala orthohantavirus,Myodes glareolus,1066,PCR,RODENTIA,CRICETIDAE,Myodes,glareolus,Bank Vole,Hantaviridae
254,Puumala orthohantavirus,Myodes glareolus,1066,PCR,RODENTIA,CRICETIDAE,Myodes,glareolus,Bank Vole,Hantaviridae
255,Puumala orthohantavirus,Myodes rufocanus,32,PCR,RODENTIA,CRICETIDAE,Myodes,rufocanus,"Grey Red-backed Vole, Grey-sided Vole, Gray Red-backed Vole",Hantaviridae
256,Puumala orthohantavirus,Myodes rufocanus,32,PCR,RODENTIA,CRICETIDAE,Myodes,rufocanus,"Grey Red-backed Vole, Grey-sided Vole, Gray Red-backed Vole",Hantaviridae
257,Rabies lyssavirus,Antrozous pallidus,9,PCR,CHIROPTERA,VESPERTILIONIDAE,Antrozous,pallidus,Pallid Bat,Rhabdoviridae
258,Rabies lyssavirus,Apodemus sylvaticus,1,PCR,RODENTIA,MURIDAE,Apodemus,sylvaticus,"Long-tailed Field Mouse, Wood Mouse, Small Wood Mouse",Rhabdoviridae
259,Rabies lyssavirus,Artibeus jamaicensis,1,PCR,CHIROPTERA,PHYLLOSTOMIDAE,Artibeus,jamaicensis,Jamaican Fruit-eating Bat,Rhabdoviridae
260,Rabies lyssavirus,Artibeus lituratus,23,PCR,CHIROPTERA,PHYLLOSTOMIDAE,Artibeus,lituratus,Great Fruit-eating Bat,Rhabdoviridae
261,Rabies lyssavirus,Atilax paludinosus,1,PCR,CARNIVORA,HERPESTIDAE,Atilax,paludinosus,"Marsh Mongoose, Water Mongoose",Rhabdoviridae
262,Rabies lyssavirus,Bison bison,23,PCR,CETARTIODACTYLA,BOVIDAE,Bison,bison,American Bison,Rhabdoviridae
263,Rabies lyssavirus,Bos taurus,650,PCR,CETARTIODACTYLA,BOVIDAE,Bos,taurus,,Rhabdoviridae
